epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2642.77,0.327,0.46632,0.40078,0.84739,0.38749,0.54462,0.46442,0.33619,0.38749,0.54462,0.45421,0.29948,1.17039,3.09493,2.9042,1.52694,0.000178356,0.000178356,0.000178356
76,2673.48,0.29613,0.49742,0.35209,0.86291,0.56699,0.5402,0.46154,0.37923,0.56699,0.5402,0.45263,0.3067,1.13155,3.13073,2.95356,1.50152,0.000171752,0.000171752,0.000171752
77,2706.08,0.30291,0.45266,0.49301,0.84979,0.56699,0.5402,0.46154,0.37923,0.56699,0.5402,0.45263,0.3067,1.13155,3.13073,2.95356,1.50152,0.000165149,0.000165149,0.000165149
78,2737.44,0.36419,0.51812,0.48887,0.92699,0.55302,0.52778,0.45207,0.3633,0.55302,0.52778,0.44104,0.29424,1.12835,3.16103,2.96543,1.4942,0.000158546,0.000158546,0.000158546
79,2769.3,0.34691,0.59397,0.59094,0.87261,0.57287,0.53451,0.46251,0.37529,0.57287,0.53451,0.45062,0.28233,1.11151,3.12353,2.978,1.46421,0.000151943,0.000151943,0.000151943
80,2801.13,0.29057,0.44502,0.37205,0.84185,0.57287,0.53451,0.46251,0.37529,0.57287,0.53451,0.45062,0.28233,1.11151,3.12353,2.978,1.46421,0.000145339,0.000145339,0.000145339
81,2833.17,0.31241,0.45244,0.3904,0.86225,0.54555,0.5184,0.44169,0.34972,0.54555,0.5184,0.42977,0.26604,1.10852,3.11809,3.17604,1.43357,0.000138736,0.000138736,0.000138736
82,2865,0.3177,0.46225,0.41066,0.84567,0.54555,0.5184,0.44169,0.34972,0.54555,0.5184,0.42977,0.26604,1.10852,3.11809,3.17604,1.43357,0.000132133,0.000132133,0.000132133
83,2897.49,0.37557,0.69903,0.6604,0.91971,0.55803,0.49038,0.44316,0.35798,0.55803,0.49038,0.43406,0.28715,1.05489,3.15797,3.17995,1.37424,0.000125529,0.000125529,0.000125529
84,2929.63,0.28389,0.47717,0.34169,0.85546,0.81313,0.38334,0.44887,0.36571,0.81313,0.38334,0.43935,0.28844,1.01276,3.15136,3.31431,1.32849,0.000118926,0.000118926,0.000118926
